Alias,Category,MovieNominee,Movie,Nominee,Seen,Critic,color
Entertainment Weekly,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Entertainment Weekly,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,NA - Critics' Pick,True,#83b2cbff
Entertainment Weekly,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Entertainment Weekly,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Variety,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Variety,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,NA - Critics' Pick,True,#EF4397
Variety,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Variety,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Screen Rant,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,NA - Critics' Pick,True,#83b2cbff
Screen Rant,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Screen Rant,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Gold Derby,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,NA - Critics' Pick,True,#EF4397
Gold Derby,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Gold Derby,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Roger Ebert,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,NA - Critics' Pick,True,#EF4397
Roger Ebert,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Awards Daily,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Awards Daily,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,NA - Critics' Pick,True,#83b2cbff
Awards Daily,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Awards Daily,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
tanner,Music (Original Score),American Fiction - Laura Karpman,American Fiction,Laura Karpman,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#607292ff
tanner,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#83b2cbff
tanner,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#83b2cbff
tanner,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,black
Taylor,Music (Original Score),Indiana Jones and the Dial of Destiny - John Williams,Indiana Jones and the Dial of Destiny,John Williams,Elemental,False,#f1940bff
Taylor,Costume Design,Napoleon - Janty Yates and Dave Crossman,Napoleon,Janty Yates and Dave Crossman,Elemental,False,#91897cff
Taylor,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,Elemental,False,#3e3222ff
Taylor,International Feature Film,Io Capitano - Italy,Io Capitano,Italy,Elemental,False,#ce8e68ff
Erik Light,Music (Original Score),Indiana Jones and the Dial of Destiny - John Williams,Indiana Jones and the Dial of Destiny,John Williams,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#f1940bff
Erik Light,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Erik Light,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#3e3222ff
Erik Light,International Feature Film,The Teacher's Lounge - Germany,The Teacher's Lounge,Germany,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#016484ff
Kg,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#EF4397
Kg,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,black
Cnewton,Music (Original Score),Killers of the Flower Moon - Robbie Robertson,Killers of the Flower Moon,Robbie Robertson,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#833014ff
Cnewton,Costume Design,Killers of the Flower Moon - Jacqueline West,Killers of the Flower Moon,Jacqueline West,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#833014ff
Cnewton,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
Cnewton,International Feature Film,Society of the Snow - Spain,Society of the Snow,Spain,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#c8d9cfff
CB,Music (Original Score),Poor Things - Jerskin Fendrix,Poor Things,Jerskin Fendrix,"Barbie, Elemental",False,#83b2cbff
CB,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Elemental",False,#EF4397
CB,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Elemental",False,#3e3222ff
CB,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,"Barbie, Elemental",False,black
MamaLlama26,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,"Barbie, Elemental",False,#3e3222ff
MamaLlama26,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Elemental",False,#EF4397
MamaLlama26,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Elemental",False,#3e3222ff
MamaLlama26,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,"Barbie, Elemental",False,black
All about Bolts,Music (Original Score),Indiana Jones and the Dial of Destiny - John Williams,Indiana Jones and the Dial of Destiny,John Williams,"20 Days in Mariupol, Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Mission Impossible - Dead Reckoning Part One, The Color Purple",False,#f1940bff
All about Bolts,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"20 Days in Mariupol, Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Mission Impossible - Dead Reckoning Part One, The Color Purple",False,#EF4397
All about Bolts,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"20 Days in Mariupol, Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Mission Impossible - Dead Reckoning Part One, The Color Purple",False,#3e3222ff
All about Bolts,International Feature Film,Perfect Days - Japan,Perfect Days,Japan,"20 Days in Mariupol, Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Mission Impossible - Dead Reckoning Part One, The Color Purple",False,#a3cba2ff
Callie,Music (Original Score),Killers of the Flower Moon - Robbie Robertson,Killers of the Flower Moon,Robbie Robertson,Barbie,False,#833014ff
Callie,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,Barbie,False,#EF4397
Callie,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,Barbie,False,#83b2cbff
Callie,International Feature Film,The Teacher's Lounge - Germany,The Teacher's Lounge,Germany,Barbie,False,#016484ff
Edjr,Music (Original Score),American Fiction - Laura Karpman,American Fiction,Laura Karpman,"Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon",False,#607292ff
Edjr,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon",False,#EF4397
Edjr,Film Editing,Killers of the Flower Moon - Thelma Schoonmaker,Killers of the Flower Moon,Thelma Schoonmaker,"Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon",False,#833014ff
Edjr,International Feature Film,The Teacher's Lounge - Germany,The Teacher's Lounge,Germany,"Barbie, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon",False,#016484ff
Leo,Music (Original Score),Indiana Jones and the Dial of Destiny - John Williams,Indiana Jones and the Dial of Destiny,John Williams,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,#f1940bff
Leo,Costume Design,Napoleon - Janty Yates and Dave Crossman,Napoleon,Janty Yates and Dave Crossman,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,#91897cff
Leo,Film Editing,Killers of the Flower Moon - Thelma Schoonmaker,Killers of the Flower Moon,Thelma Schoonmaker,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,#833014ff
Leo,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,black
Slant,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Slant,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,NA - Critics' Pick,True,#83b2cbff
Slant,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Slant,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Seattle Refined,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Seattle Refined,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,NA - Critics' Pick,True,#EF4397
Seattle Refined,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Seattle Refined,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Polygon,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
Polygon,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,NA - Critics' Pick,True,#83b2cbff
Polygon,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,NA - Critics' Pick,True,#3e3222ff
Polygon,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
The_pervy_sage,Music (Original Score),Killers of the Flower Moon - Robbie Robertson,Killers of the Flower Moon,Robbie Robertson,"Barbie, Indiana Jones and the Dial of Destiny, Mission Impossible - Dead Reckoning Part One, Spider-Man: Across the Spider-verse, The Creator",False,#833014ff
The_pervy_sage,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Indiana Jones and the Dial of Destiny, Mission Impossible - Dead Reckoning Part One, Spider-Man: Across the Spider-verse, The Creator",False,#EF4397
